Event Category,NIST Index(es),IRENE Index,Threat Event,Description
CA,58; 59,21,Conduct Man In the Middle attacks.,Adversary; operating outside organizational systems; intercepts/eavesdrops on sessions between organizational and external systems. Adversary then relays messages between organizational and external systems; making them believe that they are talking directly to each other over a private connection; when in fact the entire communication is controlled by the adversary. Such attacks are of particular concern for organizational use of community; hybrid; and public clouds.
CA,60; 61; 62,22,Conduct social engineering attacks targeting and compromising personal devices of critical employees.,Adversary  takes actions (e.g.; using email; phone) with the intent of persuading or otherwise tricking individuals within organizations into revealing critical/sensitive information (e.g.; personally identifiable information). The main targets are key organizational employees by placing malware on their personally owned information systems and devices (e.g.; laptop/notebook computers; personal digital assistants; smart phones). 
AR,67; 68; 69; 70,23,Cause integrity loss by creating; deleting; and/or modifying data on publicly accessible information systems (e.g.; web defacement).,Adversary vandalizes organizational websites or data on websites or causes deterioration of critical information system components to impede or eliminate organizational ability to carry out missions or business functions. Can also implant corrupted or incomplete data in critical one.
AR,74,24,Obtain unauthorized access. ,Adversary with authorized access to organizational information systems; gains access to resources that exceeds authorization.
AR,75; 76,25,Obtain information by opportunistically stealing or scavenging information systems/components.,Adversary steals information systems or components (e. g.; laptop computers or data storage media) that are left unattended outside of the physical perimeters of organizations; or scavenges discarded components. Adversary can also scan or mine information on publically accessible servers and web pages of organizations with the intent of finding sensitive information.
CC,79; 80; 84,26,Coordinate a campaign of multi-staged  (e.g.; hopping) or multi-typed (e.g outsider; insider; supplier) attacks.,Adversary combines attacks that require both physical presence within organizational facilities and cyber methods to achieve success. Physical attack steps may be as simple as convincing maintenance personnel to leave doors or cabinets open.
CC,81; 83,27,Coordinate campaigns across multiple organizations to acquire specific information or achieve desired outcome.,Adversary does not limit planning to the targeting of one organization. Adversary observes multiple organizations to acquire necessary information on targets of interest.
CC,82,28,Coordinate a campaign that spreads attacks across organizational systems from existing presence.,Adversary uses existing presence within organizational systems to extend the adversary?s span of control to other organizational systems including organizational infrastructure. Adversary thus is in position to further undermine organizational ability to carry out missions/business functions.
ACC,85,29,Spill sensitive information,Authorized user erroneously contaminates a device; information system; or network by placing on it or sending to it information of a classification/sensitivity which it has not been authorized to handle. The information is exposed to access by unauthorized individuals; and as a result; the device; system; or network is unavailable while the spill is investigated and mitigated.
ACC,86,30,Mishandling of critical and/or sensitive information by authorized users,Authorized privileged user inadvertently exposes critical/sensitive information.
ACC,87,31,Incorrect privilege settings,Authorized privileged user or administrator erroneously sets privilege requirements on a resource too low. This can lead to competition between different consumers aimed to acquire the needed energy; breaking the limits set by the owner
ENV,90,32,Earthquake at primary facility,Earthquake of organization-defined magnitude at primary facility makes facility inoperable.
ENV,91; 92,33,Fire at primary/backup facility ,Fire (not due to adversarial activity) at primary/backup facility makes facility inoperable.
ENV,93; 94,34,Flood at primary/backup facility,Flood (not due to adversarial activity) at primary/backup facility makes facility inoperable.
ENV,95; 96; 101; 102,35,Hurricane at primary/backup facility,Hurricane of organization-defined strength at primary/backup facility makes facility inoperable.
HI,97,36,Resource depletion  ,Degraded processing performance due to resource depletion.
HI,98,37,Introduction of vulnerabilities into software products,Due to inherent weaknesses in programming languages and software development environments; errors and vulnerabilities are introduced into commonly used software products.
HI,99; 100,38,Disk error ,Corrupted storage due to a disk error.
